prop_id,Win,Bet,Prop_OU,abs_resid
"Daniel Theis_Total Points, Rebounds and Assists_2021-01-30",1,0.04,"Total Points, Rebounds and Assists_Over",0.8599999999999994
"Jayson Tatum_Total Points, Rebounds and Assists_2021-01-30",0,0.03,"Total Points, Rebounds and Assists_Under",2.25
Jaylen Brown_Total Made 3 Point Shots_2021-01-30,0,0.08,Total Made 3 Point Shots_Over,0.06000000000000005
Kemba Walker_Total Made 3 Point Shots_2021-01-30,0,0.35,Total Made 3 Point Shots_Over,0.7799999999999998
Marcus Smart_Total Made 3 Point Shots_2021-01-30,0,0.37,Total Made 3 Point Shots_Over,0.6600000000000001
Jayson Tatum_Total Blocks and Steals_2021-01-30,1,0.23,Total Blocks and Steals_Over,0.5899999999999999
Buddy Hield_Total Points_2021-01-30,1,0.04,Total Points_Over,1.5
Marvin Bagley III_Total Points_2021-01-30,1,0.08,Total Points_Over,1.4000000000000004
Richaun Holmes_Total Points_2021-01-30,0,0.02,Total Points_Over,0.6999999999999993
Marvin Bagley III_Total Rebounds_2021-01-30,0,0.05,Total Rebounds_Over,0.6500000000000004
Marvin Bagley III_Total Points and Rebounds_2021-01-30,1,0.04,Total Points and Rebounds_Over,1.5500000000000007
Harrison Barnes_Total Rebounds and Assists_2021-01-30,0,0.02,Total Rebounds and Assists_Over,0.75
Enes Kanter_Total Points_2021-01-30,1,0.06,Total Points_Over,1.3000000000000007
Patrick Williams_Total Points_2021-01-30,1,0.1,Total Points_Over,1.1999999999999993
Coby White_Total Rebounds and Assists_2021-01-30,0,0.03,Total Rebounds and Assists_Over,0.5800000000000001
Damian Lillard_Total Rebounds and Assists_2021-01-30,1,0.1,Total Rebounds and Assists_Over,1.2899999999999991
Enes Kanter_Total Rebounds and Assists_2021-01-30,0,0.04,Total Rebounds and Assists_Over,0.75
Lauri Markkanen_Total Rebounds and Assists_2021-01-30,0,0.27,Total Rebounds and Assists_Over,2.4299999999999997
Zach Lavine_Total Rebounds and Assists_2021-01-30,1,0.06,Total Rebounds and Assists_Over,1.0299999999999994
"Enes Kanter_Total Points, Rebounds and Assists_2021-01-30",1,0.02,"Total Points, Rebounds and Assists_Over",1.5499999999999972
"Lauri Markkanen_Total Points, Rebounds and Assists_2021-01-30",1,0.03,"Total Points, Rebounds and Assists_Over",1.629999999999999
"Zach Lavine_Total Points, Rebounds and Assists_2021-01-30",0,0.02,"Total Points, Rebounds and Assists_Over",1.3299999999999983
Brook Lopez_Total Points_2021-01-30,1,0.07,Total Points_Under,1.1999999999999993
Cody Zeller_Total Points_2021-01-30,0,0.12,Total Points_Over,1.6999999999999993
Devonte Graham_Total Points_2021-01-30,1,0.04,Total Points_Under,0.6999999999999993
Donte DiVincenzo_Total Points_2021-01-30,0,0.03,Total Points_Over,0.5999999999999996
Giannis Antetokounmpo_Total Points_2021-01-30,1,0.03,Total Points_Over,2.3000000000000007
Gordon Hayward_Total Points_2021-01-30,1,0.02,Total Points_Over,1.3999999999999986
Khris Middleton_Total Points_2021-01-30,0,0.04,Total Points_Over,1.5
P.J. Washington_Total Points_2021-01-30,0,0.01,Total Points_Over,0.6999999999999993
Brook Lopez_Total Rebounds and Assists_2021-01-30,0,0.22,Total Rebounds and Assists_Over,1.5199999999999996
Cody Zeller_Total Rebounds and Assists_2021-01-30,1,0.06,Total Rebounds and Assists_Over,0.6600000000000001
Donte DiVincenzo_Total Rebounds and Assists_2021-01-30,0,0.05,Total Rebounds and Assists_Over,0.4299999999999997
Jrue Holiday_Total Rebounds and Assists_2021-01-30,1,0.01,Total Rebounds and Assists_Under,0.6400000000000006
Khris Middleton_Total Rebounds and Assists_2021-01-30,0,0.04,Total Rebounds and Assists_Over,0.9400000000000013
Terry Rozier_Total Rebounds and Assists_2021-01-30,0,0.06,Total Rebounds and Assists_Over,0.7300000000000004
"Cody Zeller_Total Points, Rebounds and Assists_2021-01-30",1,0.06,"Total Points, Rebounds and Assists_Over",1.8599999999999994
"Devonte Graham_Total Points, Rebounds and Assists_2021-01-30",1,0.02,"Total Points, Rebounds and Assists_Under",0.9799999999999969
"Donte DiVincenzo_Total Points, Rebounds and Assists_2021-01-30",0,0.02,"Total Points, Rebounds and Assists_Over",0.5300000000000011
"Gordon Hayward_Total Points, Rebounds and Assists_2021-01-30",1,0.02,"Total Points, Rebounds and Assists_Over",1.2399999999999984
"Khris Middleton_Total Points, Rebounds and Assists_2021-01-30",0,0.04,"Total Points, Rebounds and Assists_Over",2.4399999999999977
Eric Bledsoe_Total Points_2021-01-30,0,0.02,Total Points_Under,0.5999999999999996
John Wall_Total Points_2021-01-30,1,0.03,Total Points_Under,1.1999999999999993
Lonzo Ball_Total Points_2021-01-30,1,0.01,Total Points_Under,0.1999999999999993
P.J. Tucker_Total Points_2021-01-30,0,0.06,Total Points_Over,0.40000000000000036
Steven Adams_Total Points_2021-01-30,0,0.14,Total Points_Over,1.6999999999999993
Victor Oladipo_Total Points_2021-01-30,0,0.02,Total Points_Over,1.1999999999999993
Christian Wood_Total Rebounds_2021-01-30,1,0.05,Total Rebounds_Under,0.9700000000000006
Christian Wood_Total Points and Rebounds_2021-01-30,0,0.03,Total Points and Rebounds_Under,1.4699999999999989
Steven Adams_Total Points and Rebounds_2021-01-30,0,0.05,Total Points and Rebounds_Over,1.2899999999999991
Brandon Ingram_Total Rebounds and Assists_2021-01-30,0,0.12,Total Rebounds and Assists_Over,1.6600000000000001
Eric Bledsoe_Total Rebounds and Assists_2021-01-30,1,0.05,Total Rebounds and Assists_Over,0.5300000000000011
John Wall_Total Rebounds and Assists_2021-01-30,1,0.14,Total Rebounds and Assists_Over,1.67
Victor Oladipo_Total Rebounds and Assists_2021-01-30,1,0.06,Total Rebounds and Assists_Over,1.08
Bojan Bogdanovic_Total Points_2021-01-31,1,0.03,Total Points_Over,0.8000000000000007
Donovan Mitchell_Total Points_2021-01-31,1,0.01,Total Points_Under,1.1000000000000014
Mike Conley_Total Points_2021-01-31,0,0.02,Total Points_Over,1.1999999999999993
Rudy Gobert_Total Points_2021-01-31,0,0.03,Total Points_Over,1.0999999999999996
Rudy Gobert_Total Rebounds_2021-01-31,1,0.01,Total Rebounds_Under,1.08
Bojan Bogdanovic_Total Rebounds and Assists_2021-01-31,1,0.06,Total Rebounds and Assists_Over,0.5
Donovan Mitchell_Total Rebounds and Assists_2021-01-31,1,0.05,Total Rebounds and Assists_Under,1.0100000000000016
Will Barton_Total Rebounds and Assists_2021-01-31,1,0.6,Total Rebounds and Assists_Over,2.9400000000000004
"Bojan Bogdanovic_Total Points, Rebounds and Assists_2021-01-31",1,0.02,"Total Points, Rebounds and Assists_Over",0.8000000000000007
"Donovan Mitchell_Total Points, Rebounds and Assists_2021-01-31",1,0.02,"Total Points, Rebounds and Assists_Under",2.110000000000003
"Gary Harris_Total Points, Rebounds and Assists_2021-01-31",0,0.05,"Total Points, Rebounds and Assists_Over",0.9400000000000013
"Jamal Murray_Total Points, Rebounds and Assists_2021-01-31",1,0.02,"Total Points, Rebounds and Assists_Under",1.490000000000002
"Nikola Jokic_Total Points, Rebounds and Assists_2021-01-31",1,0.01,"Total Points, Rebounds and Assists_Over",2.239999999999995
"Will Barton_Total Points, Rebounds and Assists_2021-01-31",1,0.14,"Total Points, Rebounds and Assists_Over",2.4400000000000013
Jamal Murray_Total Made 3 Point Shots_2021-01-31,1,0.25,Total Made 3 Point Shots_Over,0.56
Mike Conley_Total Made 3 Point Shots_2021-01-31,1,0.09,Total Made 3 Point Shots_Under,0.2999999999999998
Nikola Jokic_Total Made 3 Point Shots_2021-01-31,0,0.02,Total Made 3 Point Shots_Under,0.16999999999999993
Will Barton_Total Made 3 Point Shots_2021-01-31,1,0.08,Total Made 3 Point Shots_Over,0.06000000000000005
Gary Harris_Total Blocks and Steals_2021-01-31,0,0.01,Total Blocks and Steals_Over,0.010000000000000009
Nikola Jokic_Total Blocks and Steals_2021-01-31,0,0.01,Total Blocks and Steals_Under,0.3700000000000001
Rudy Gobert_Total Blocks and Steals_2021-01-31,1,0.04,Total Blocks and Steals_Under,0.14000000000000012
Blake Griffin_Total Points_2021-02-01,0,0.08,Total Points_Under,1.8000000000000007
Delon Wright_Total Points_2021-02-01,0,0.04,Total Points_Over,0.5
Mason Plumlee_Total Points_2021-02-01,0,0.01,Total Points_Under,1
Monte Morris_Total Points_2021-02-01,0,0.09,Total Points_Under,1.1999999999999993
Wayne Ellington_Total Points_2021-02-01,0,0.09,Total Points_Under,1.5
Will Barton_Total Points_2021-02-01,0,0.08,Total Points_Over,1.1999999999999993
Mason Plumlee_Total Points and Rebounds_2021-02-01,0,0.06,Total Points and Rebounds_Under,1.58
Blake Griffin_Total Rebounds and Assists_2021-02-01,0,0.04,Total Rebounds and Assists_Under,0.6799999999999997
Jerami Grant_Total Rebounds and Assists_2021-02-01,0,0.14,Total Rebounds and Assists_Over,1.33
Monte Morris_Total Rebounds and Assists_2021-02-01,0,0.07,Total Rebounds and Assists_Under,0.6799999999999997
Paul Millsap_Total Rebounds and Assists_2021-02-01,0,0.01,Total Rebounds and Assists_Under,0.13000000000000078
Will Barton_Total Rebounds and Assists_2021-02-01,0,0.13,Total Rebounds and Assists_Over,1.1400000000000006
"Blake Griffin_Total Points, Rebounds and Assists_2021-02-01",0,0.05,"Total Points, Rebounds and Assists_Under",2.4800000000000004
"Monte Morris_Total Points, Rebounds and Assists_2021-02-01",0,0.05,"Total Points, Rebounds and Assists_Under",2.379999999999999
"Wayne Ellington_Total Points, Rebounds and Assists_2021-02-01",0,0.02,"Total Points, Rebounds and Assists_Under",1.549999999999999
"Will Barton_Total Points, Rebounds and Assists_2021-02-01",0,0.09,"Total Points, Rebounds and Assists_Over",2.3399999999999963
Blake Griffin_Total Made 3 Point Shots_2021-02-01,0,0.18,Total Made 3 Point Shots_Under,0.15999999999999992
Jamal Murray_Total Made 3 Point Shots_2021-02-01,0,0.23,Total Made 3 Point Shots_Over,0.54
Monte Morris_Total Made 3 Point Shots_2021-02-01,0,0.86,Total Made 3 Point Shots_Over,0.54
Will Barton_Total Made 3 Point Shots_2021-02-01,0,0.14,Total Made 3 Point Shots_Over,0.20999999999999996
Josh Richardson_Total Points_2021-02-01,1,0.03,Total Points_Over,0.6999999999999993
Tim Hardaway Jr._Total Points_2021-02-01,1,0.03,Total Points_Over,0.8999999999999986
Kristaps Porzingis_Total Rebounds_2021-02-01,1,0.06,Total Rebounds_Over,0.5099999999999998
Josh Richardson_Total Rebounds and Assists_2021-02-01,0,0.07,Total Rebounds and Assists_Under,0.5700000000000003
Luka Doncic_Total Rebounds and Assists_2021-02-01,0,0.02,Total Rebounds and Assists_Over,1.0399999999999991
Tim Hardaway Jr._Total Rebounds and Assists_2021-02-01,0,0.07,Total Rebounds and Assists_Over,0.5899999999999999
Josh Richardson_Total Made 3 Point Shots_2021-02-01,1,0.02,Total Made 3 Point Shots_Over,0.020000000000000018
Kristaps Porzingis_Total Made 3 Point Shots_2021-02-01,1,0.38,Total Made 3 Point Shots_Over,0.7200000000000002
Luka Doncic_Total Made 3 Point Shots_2021-02-01,0,0.11,Total Made 3 Point Shots_Over,0.16000000000000014
Tim Hardaway Jr._Total Made 3 Point Shots_2021-02-01,1,0.07,Total Made 3 Point Shots_Over,0.10000000000000009
Brandon Clarke_Total Points_2021-02-01,1,0.05,Total Points_Over,1.0999999999999996
Dillon Brooks_Total Points_2021-02-01,0,0.04,Total Points_Over,0.3000000000000007
Keldon Johnson_Total Points_2021-02-01,1,0.06,Total Points_Over,1.1999999999999993
Lonnie Walker IV_Total Points_2021-02-01,0,0.01,Total Points_Over,0.5
LaMarcus Aldridge_Total Rebounds_2021-02-01,1,0.03,Total Rebounds_Under,0.29000000000000004
Xavier Tillman_Total Rebounds_2021-02-01,0,0.1,Total Rebounds_Under,1.04
Xavier Tillman_Total Points and Rebounds_2021-02-01,0,0.06,Total Points and Rebounds_Under,1.4400000000000013
Brandon Clarke_Total Rebounds and Assists_2021-02-01,1,0.06,Total Rebounds and Assists_Under,0.9599999999999991
Dejounte Murray_Total Rebounds and Assists_2021-02-01,0,0.07,Total Rebounds and Assists_Over,1.2600000000000016
DeMar DeRozan_Total Rebounds and Assists_2021-02-01,1,0.05,Total Rebounds and Assists_Over,0.870000000000001
Dillon Brooks_Total Rebounds and Assists_2021-02-01,0,0.06,Total Rebounds and Assists_Over,0.54
Lonnie Walker IV_Total Rebounds and Assists_2021-02-01,0,0.08,Total Rebounds and Assists_Over,0.5
"Keldon Johnson_Total Points, Rebounds and Assists_2021-02-01",1,0.03,"Total Points, Rebounds and Assists_Over",1.259999999999998
"Lonnie Walker IV_Total Points, Rebounds and Assists_2021-02-01",0,0.01,"Total Points, Rebounds and Assists_Over",0.5
Dejounte Murray_Total Made 3 Point Shots_2021-02-01,1,0.46,Total Made 3 Point Shots_Over,0.33999999999999997
Dillon Brooks_Total Made 3 Point Shots_2021-02-01,0,0.12,Total Made 3 Point Shots_Over,0.4099999999999999
Ja Morant_Total Made 3 Point Shots_2021-02-01,1,0.07,Total Made 3 Point Shots_Under,0.3600000000000001
Keldon Johnson_Total Made 3 Point Shots_2021-02-01,1,1.17,Total Made 3 Point Shots_Over,0.6499999999999999
Kyle Anderson_Total Made 3 Point Shots_2021-02-01,0,0.36,Total Made 3 Point Shots_Under,0.71
LaMarcus Aldridge_Total Made 3 Point Shots_2021-02-01,0,0.47,Total Made 3 Point Shots_Under,0.98
Lonnie Walker IV_Total Made 3 Point Shots_2021-02-01,1,0.01,Total Made 3 Point Shots_Under,0.10000000000000009
Collin Sexton_Total Rebounds and Assists_2021-02-01,0,0.15,Total Rebounds and Assists_Over,1.2699999999999996
Darius Garland_Total Rebounds and Assists_2021-02-01,1,0.07,Total Rebounds and Assists_Over,0.7799999999999994
"Collin Sexton_Total Points, Rebounds and Assists_2021-02-01",1,0.02,"Total Points, Rebounds and Assists_Over",2.0700000000000003
Collin Sexton_Total Made 3 Point Shots_2021-02-01,1,0.22,Total Made 3 Point Shots_Over,0.3600000000000001
Darius Garland_Total Made 3 Point Shots_2021-02-01,0,0.44,Total Made 3 Point Shots_Over,0.77
De'Aaron Fox_Total Points_2021-02-01,0,0.04,Total Points_Under,1.1000000000000014
Eric Bledsoe_Total Points_2021-02-01,0,0.04,Total Points_Over,1.4000000000000004
Lonzo Ball_Total Points_2021-02-01,0,0.02,Total Points_Under,0.40000000000000036
Richaun Holmes_Total Points_2021-02-01,1,0.03,Total Points_Over,0.40000000000000036
Brandon Ingram_Total Rebounds and Assists_2021-02-01,0,0.06,Total Rebounds and Assists_Over,0.9000000000000004
Eric Bledsoe_Total Rebounds and Assists_2021-02-01,0,0.03,Total Rebounds and Assists_Over,0.5700000000000003
Harrison Barnes_Total Rebounds and Assists_2021-02-01,1,0.06,Total Rebounds and Assists_Over,0.8200000000000003
Marvin Bagley III_Total Rebounds and Assists_2021-02-01,1,0.01,Total Rebounds and Assists_Under,0.5800000000000001
"Brandon Ingram_Total Points, Rebounds and Assists_2021-02-01",0,0.01,"Total Points, Rebounds and Assists_Over",1.6000000000000014
"Eric Bledsoe_Total Points, Rebounds and Assists_2021-02-01",0,0.02,"Total Points, Rebounds and Assists_Over",1.4699999999999989
Brandon Ingram_Total Made 3 Point Shots_2021-02-01,1,0.02,Total Made 3 Point Shots_Under,0.33000000000000007
Buddy Hield_Total Made 3 Point Shots_2021-02-01,1,0.01,Total Made 3 Point Shots_Under,0.2599999999999998
De'Aaron Fox_Total Made 3 Point Shots_2021-02-01,0,0.06,Total Made 3 Point Shots_Under,0.06000000000000005
Eric Bledsoe_Total Made 3 Point Shots_2021-02-01,1,0.2,Total Made 3 Point Shots_Under,0.8999999999999999
Harrison Barnes_Total Made 3 Point Shots_2021-02-01,1,0.17,Total Made 3 Point Shots_Over,0.3999999999999999
Marvin Bagley III_Total Made 3 Point Shots_2021-02-01,0,0.04,Total Made 3 Point Shots_Over,0.12
Damian Lillard_Total Points_2021-02-01,1,0.01,Total Points_Under,2.1000000000000014
Enes Kanter_Total Points_2021-02-01,0,0.01,Total Points_Over,0.3000000000000007
Gary Trent Jr._Total Points_2021-02-01,0,0.04,Total Points_Over,0.6999999999999993
Jrue Holiday_Total Points_2021-02-01,0,0.03,Total Points_Under,0.9000000000000004
Robert Covington_Total Points_2021-02-01,0,0.03,Total Points_Over,0.40000000000000036
Enes Kanter_Total Rebounds_2021-02-01,0,0.14,Total Rebounds_Over,1.5099999999999998
Enes Kanter_Total Points and Rebounds_2021-02-01,0,0.06,Total Points and Rebounds_Over,1.8100000000000023
Brook Lopez_Total Rebounds and Assists_2021-02-01,0,0.13,Total Rebounds and Assists_Over,1
Donte DiVincenzo_Total Rebounds and Assists_2021-02-01,1,0.02,Total Rebounds and Assists_Over,0.34999999999999964
Gary Trent Jr._Total Rebounds and Assists_2021-02-01,0,0.14,Total Rebounds and Assists_Over,0.6200000000000001
Khris Middleton_Total Rebounds and Assists_2021-02-01,1,0.05,Total Rebounds and Assists_Over,1.0599999999999987
Robert Covington_Total Rebounds and Assists_2021-02-01,1,0.01,Total Rebounds and Assists_Over,0.3199999999999994
"Gary Trent Jr._Total Points, Rebounds and Assists_2021-02-01",0,0.03,"Total Points, Rebounds and Assists_Over",0.8200000000000003
"Jrue Holiday_Total Points, Rebounds and Assists_2021-02-01",0,0.02,"Total Points, Rebounds and Assists_Under",1.75
Brook Lopez_Total Made 3 Point Shots_2021-02-01,0,0.11,Total Made 3 Point Shots_Over,0.27
Damian Lillard_Total Made 3 Point Shots_2021-02-01,1,0.08,Total Made 3 Point Shots_Under,0.46999999999999975
Donte DiVincenzo_Total Made 3 Point Shots_2021-02-01,0,0.04,Total Made 3 Point Shots_Over,0.19999999999999996
Gary Trent Jr._Total Made 3 Point Shots_2021-02-01,0,0.02,Total Made 3 Point Shots_Over,0.10000000000000009
Giannis Antetokounmpo_Total Made 3 Point Shots_2021-02-01,1,0.04,Total Made 3 Point Shots_Under,0.24
Jrue Holiday_Total Made 3 Point Shots_2021-02-01,1,0.25,Total Made 3 Point Shots_Under,1
Robert Covington_Total Made 3 Point Shots_2021-02-01,1,0.09,Total Made 3 Point Shots_Under,0.56
Coby White_Total Points_2021-02-01,1,0.01,Total Points_Under,0.6999999999999993
Elfrid Payton_Total Points_2021-02-01,0,0.06,Total Points_Over,0.8000000000000007
Lauri Markkanen_Total Points_2021-02-01,0,0.02,Total Points_Under,0.5
Mitchell Robinson_Total Points_2021-02-01,1,0.09,Total Points_Over,1.0999999999999996
Patrick Williams_Total Points_2021-02-01,0,0.03,Total Points_Under,0.40000000000000036
Reggie Bullock_Total Points_2021-02-01,0,0.11,Total Points_Over,1.1999999999999993
RJ Barrett_Total Points_2021-02-01,1,0.13,Total Points_Under,2.1999999999999993
Lauri Markkanen_Total Rebounds and Assists_2021-02-01,0,0.06,Total Rebounds and Assists_Over,0.8000000000000007
Patrick Williams_Total Rebounds and Assists_2021-02-01,1,0.05,Total Rebounds and Assists_Under,0.41999999999999993
"Patrick Williams_Total Points, Rebounds and Assists_2021-02-01",1,0.03,"Total Points, Rebounds and Assists_Under",0.8200000000000003
"Reggie Bullock_Total Points, Rebounds and Assists_2021-02-01",0,0.02,"Total Points, Rebounds and Assists_Over",0.6799999999999997
"RJ Barrett_Total Points, Rebounds and Assists_2021-02-01",1,0.01,"Total Points, Rebounds and Assists_Under",1.6099999999999994
Coby White_Total Made 3 Point Shots_2021-02-01,0,0.01,Total Made 3 Point Shots_Over,0.10000000000000009
Julius Randle_Total Made 3 Point Shots_2021-02-01,1,0.11,Total Made 3 Point Shots_Under,0.43999999999999995
Lauri Markkanen_Total Made 3 Point Shots_2021-02-01,0,0.03,Total Made 3 Point Shots_Under,0.10000000000000009
Reggie Bullock_Total Made 3 Point Shots_2021-02-01,0,0.12,Total Made 3 Point Shots_Over,0.08000000000000007
RJ Barrett_Total Made 3 Point Shots_2021-02-01,1,0.03,Total Made 3 Point Shots_Under,0.30000000000000004
Zach Lavine_Total Made 3 Point Shots_2021-02-01,1,0.09,Total Made 3 Point Shots_Under,0.7200000000000002
Al Horford_Total Points_2021-02-01,0,0.05,Total Points_Over,1.0999999999999996
Darius Bazley_Total Points_2021-02-01,1,0.05,Total Points_Over,1.0999999999999996
Jae'Sean Tate_Total Points_2021-02-01,0,0.02,Total Points_Under,0.5999999999999996
John Wall_Total Points_2021-02-01,1,0.05,Total Points_Over,1.6000000000000014
Luguentz Dort_Total Points_2021-02-01,0,0.09,Total Points_Over,1.5999999999999996
Victor Oladipo_Total Points_2021-02-01,0,0.07,Total Points_Over,2.5
Darius Bazley_Total Rebounds_2021-02-01,0,0.05,Total Rebounds_Over,0.7800000000000002
Darius Bazley_Total Points and Rebounds_2021-02-01,1,0.04,Total Points and Rebounds_Over,1.379999999999999
Jae'Sean Tate_Total Rebounds and Assists_2021-02-01,0,0.13,Total Rebounds and Assists_Under,1.29
John Wall_Total Rebounds and Assists_2021-02-01,1,0.04,Total Rebounds and Assists_Over,0.8300000000000001
Luguentz Dort_Total Rebounds and Assists_2021-02-01,0,0.08,Total Rebounds and Assists_Over,0.5
Theo Maledon_Total Rebounds and Assists_2021-02-01,0,0.01,Total Rebounds and Assists_Over,0.2699999999999996
Victor Oladipo_Total Rebounds and Assists_2021-02-01,1,0.05,Total Rebounds and Assists_Over,0.8299999999999983
"Al Horford_Total Points, Rebounds and Assists_2021-02-01",0,0.01,"Total Points, Rebounds and Assists_Over",0.8000000000000007
"Jae'Sean Tate_Total Points, Rebounds and Assists_2021-02-01",0,0.06,"Total Points, Rebounds and Assists_Under",1.8900000000000006
"John Wall_Total Points, Rebounds and Assists_2021-02-01",1,0.06,"Total Points, Rebounds and Assists_Over",1.9299999999999997
"Luguentz Dort_Total Points, Rebounds and Assists_2021-02-01",0,0.05,"Total Points, Rebounds and Assists_Over",1.6000000000000014
"Victor Oladipo_Total Points, Rebounds and Assists_2021-02-01",0,0.05,"Total Points, Rebounds and Assists_Over",2.8299999999999983
Al Horford_Total Made 3 Point Shots_2021-02-01,0,0.03,Total Made 3 Point Shots_Under,0.08000000000000007
Darius Bazley_Total Made 3 Point Shots_2021-02-01,0,0.1,Total Made 3 Point Shots_Over,0.17999999999999994
John Wall_Total Made 3 Point Shots_2021-02-01,0,0.05,Total Made 3 Point Shots_Under,0.020000000000000018
Luguentz Dort_Total Made 3 Point Shots_2021-02-01,1,0.01,Total Made 3 Point Shots_Under,0.43000000000000016
Victor Oladipo_Total Made 3 Point Shots_2021-02-01,1,0.09,Total Made 3 Point Shots_Over,0.3999999999999999
Clint Capela_Total Points_2021-02-01,1,0.07,Total Points_Over,1.4000000000000004
John Collins_Total Points_2021-02-01,1,0.04,Total Points_Over,1.1999999999999993
Kevin Huerter_Total Points_2021-02-01,0,0.11,Total Points_Over,1.5
Trae Young_Total Points_2021-02-01,1,0.04,Total Points_Under,1.6999999999999993
Clint Capela_Total Rebounds_2021-02-01,0,0.04,Total Rebounds_Over,0.7599999999999998
John Collins_Total Rebounds_2021-02-01,0,0.09,Total Rebounds_Over,0.5700000000000003
Clint Capela_Total Points and Rebounds_2021-02-01,1,0.04,Total Points and Rebounds_Over,1.6600000000000001
John Collins_Total Points and Rebounds_2021-02-01,1,0.02,Total Points and Rebounds_Over,0.7699999999999996
Cam Reddish_Total Rebounds and Assists_2021-02-01,0,0.06,Total Rebounds and Assists_Over,0.5099999999999998
Kevin Huerter_Total Rebounds and Assists_2021-02-01,0,0.08,Total Rebounds and Assists_Over,0.8200000000000003
"Kevin Huerter_Total Points, Rebounds and Assists_2021-02-01",0,0.1,"Total Points, Rebounds and Assists_Over",2.3200000000000003
Cam Reddish_Total Made 3 Point Shots_2021-02-01,0,0.09,Total Made 3 Point Shots_Over,0.1200000000000001
John Collins_Total Made 3 Point Shots_2021-02-01,0,0.14,Total Made 3 Point Shots_Under,0.49
